Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Admission grade,Target_status
5,3,9085,1,141.0,128.8,3
1,1,9254,1,121.0,117.5,2
43,1,9500,6,134.0,120.4,2
1,1,9238,1,134.0,130.9,2
1,1,9853,1,132.0,125.0,3
1,1,9085,1,135.0,136.8,3
1,1,9853,1,123.0,121.6,3
44,1,9119,39,151.0,151.0,1
1,1,9238,1,107.0,103.5,2
1,1,8014,1,126.0,119.4,2
1,1,9238,1,133.0,134.4,2
44,1,9238,39,140.0,143.0,2
7,1,9853,40,110.0,110.0,2
1,4,9500,1,141.0,132.5,2
17,1,9238,1,122.0,114.7,2
17,1,9130,1,156.0,166.9,2
1,1,9085,1,129.0,125.9,3
1,1,171,1,188.0,178.3,1
39,1,8014,1,120.0,117.0,2
39,1,9003,3,130.0,150.0,2
42,1,9147,1,130.0,130.0,3
1,1,9773,1,140.0,135.1,2
43,1,9238,1,110.0,110.0,3
39,1,9991,1,133.1,136.2,2
39,1,9238,1,120.0,116.0,2
1,2,8014,1,96.0,100.0,3
1,1,9254,1,117.0,116.3,1
43,1,9773,1,123.0,134.0,2
1,4,171,1,127.0,124.2,1
1,1,9500,1,151.0,134.5,2
1,1,9254,1,127.0,120.7,1
17,1,9085,1,133.0,127.1,2
39,1,9500,19,133.1,133.0,2
39,1,9991,1,133.1,128.2,1
39,1,9003,1,133.1,130.0,3
39,1,9085,43,160.0,172.0,1
17,4,9853,1,140.0,128.5,2
1,1,9773,1,146.0,128.5,1
17,4,9147,1,112.0,112.0,3
53,1,9085,42,140.0,142.5,2
1,4,9500,1,136.0,133.0,3
1,1,9085,1,133.1,106.0,2
1,4,9500,1,136.0,125.5,2
17,1,9085,1,134.0,131.2,3
1,1,9853,1,122.0,112.9,2
1,6,9500,1,138.0,124.8,1
43,1,8014,1,160.0,140.9,2
39,1,9991,1,130.0,148.0,3
17,1,9773,1,161.0,148.4,2
39,1,9991,1,140.0,129.7,2
39,1,9085,19,133.1,128.2,1
51,1,8014,19,133.1,104.0,3
18,4,9147,1,130.0,119.9,1
1,1,9500,1,152.0,141.0,2
17,1,9853,1,125.0,116.6,3
44,1,9085,39,140.0,140.0,3
39,1,9500,19,133.1,140.0,1
43,1,9500,1,170.0,100.0,3
1,1,9238,1,135.0,121.0,3
1,1,9853,1,125.0,117.0,2
53,1,9147,42,140.0,140.2,2
1,1,9238,1,124.0,129.3,2
1,1,9853,1,140.0,145.3,2
39,1,9991,3,130.0,146.2,2
17,1,9853,1,134.0,122.5,3
44,1,8014,39,160.0,156.1,2
44,1,9085,39,140.0,140.0,3
39,1,9500,1,150.0,140.0,3
1,6,9773,1,141.0,128.4,1
17,2,9085,1,120.0,115.0,1
17,2,9085,1,166.0,158.7,2
1,4,9500,1,147.0,124.5,2
51,1,9238,1,121.0,111.9,2
44,1,9085,39,150.0,150.0,2
17,1,9670,1,124.0,114.2,1
17,1,9147,1,96.0,96.0,1
17,4,9070,1,125.0,128.9,3
17,1,9254,1,136.0,121.7,3
1,1,9773,1,120.0,114.8,3
1,1,9254,1,128.0,127.0,3
17,1,9500,1,142.0,131.3,2
1,1,171,1,135.0,137.1,2
7,1,9070,40,120.0,120.0,2
39,1,9991,40,140.0,139.0,2
17,1,9238,1,135.0,129.1,2
39,1,9085,1,133.1,128.2,1
1,2,9500,1,137.0,120.8,2
39,1,9500,3,122.0,135.8,2
1,3,9500,1,128.0,118.9,2
7,1,9991,40,140.0,140.0,2
1,1,9238,1,132.0,127.1,2
1,1,9085,1,131.0,137.0,2
1,1,9085,1,126.0,127.4,2
1,1,9853,1,133.1,97.0,1
1,4,9500,1,136.0,126.3,2
1,4,9500,1,140.0,127.5,1
1,1,9500,1,135.0,126.6,2
42,1,9991,1,160.0,120.0,2
44,1,9085,39,140.0,140.0,1
1,6,9500,1,140.0,131.5,2
17,6,9556,1,115.0,112.2,2
1,1,9500,1,144.0,150.5,2
1,4,9670,1,128.0,121.0,2
17,1,9147,1,116.0,112.2,3
1,2,9085,1,135.0,129.4,1
17,1,9670,1,121.0,114.4,2
1,3,9500,1,134.0,120.3,2
39,1,8014,1,120.0,120.0,2
17,2,9147,1,125.0,114.5,2
1,1,9500,1,141.0,127.8,1
1,1,9773,1,140.0,124.6,2
1,6,9500,1,144.0,130.3,2
17,1,9254,1,122.0,118.2,3
1,1,9670,1,130.0,118.8,2
1,5,9670,1,133.1,133.0,1
39,1,9500,19,133.1,129.0,2
43,1,9556,1,147.0,100.0,3
43,1,9130,1,127.0,120.7,3
17,6,9500,1,136.0,132.5,2
1,5,9500,1,127.0,120.3,2
17,1,9670,1,123.0,114.6,2
1,1,9238,1,128.0,116.5,2
1,1,9500,1,128.0,127.8,2
1,2,9500,1,140.0,129.9,1
1,2,9773,1,121.0,118.9,2
1,3,9254,1,122.0,114.3,3
18,1,9500,1,126.0,114.8,2
1,4,9500,1,135.0,123.0,2
1,2,9500,1,131.0,122.1,2
17,4,9085,1,140.0,123.7,2
1,3,9147,1,131.0,132.4,3
39,1,8014,1,130.0,114.8,2
7,1,9003,3,130.0,130.0,1
43,1,9853,1,140.0,122.3,1
39,1,9003,1,130.0,152.4,2
17,1,9773,1,125.0,120.1,2
1,1,9130,1,160.0,155.1,2
51,1,9070,1,130.0,124.5,2
17,1,9238,1,144.0,126.9,2
39,1,9147,19,133.1,153.2,2
17,1,9238,1,148.0,129.8,3
43,1,8014,1,133.1,135.0,1
1,1,9853,1,133.0,131.3,3
43,6,9238,1,129.0,125.2,2
1,5,9500,1,144.0,141.3,2
17,1,9238,1,120.0,117.1,2
17,3,9500,1,144.0,126.5,2
1,1,9254,1,132.0,120.1,2
1,1,9670,1,142.0,128.4,1
1,2,9500,1,136.0,140.0,2
39,1,9254,9,133.1,110.0,1
1,1,9670,1,122.0,116.8,2
1,2,9556,1,133.1,104.5,1
7,1,9500,3,140.0,140.0,1
1,1,9500,1,117.0,113.2,2
17,1,9238,1,128.0,118.6,3
1,1,9500,1,136.0,123.8,2
18,6,9500,1,141.0,126.7,2
1,3,9500,1,130.0,133.8,1
44,1,9085,39,140.0,140.0,3
1,3,9500,1,102.0,100.6,2
17,1,9853,1,126.0,132.7,2
43,2,9670,1,125.0,106.6,1
39,1,9670,1,120.0,140.4,1
17,3,9500,1,132.0,128.3,2
1,3,9500,1,128.0,118.6,2
1,1,9070,1,115.0,123.4,2
1,1,9670,1,125.0,124.0,2
1,6,9500,1,137.0,121.3,2
1,1,9085,1,101.0,101.0,3
1,1,9853,1,126.0,116.9,3
7,3,9130,3,130.0,130.0,1
39,1,9556,19,100.0,120.0,1
17,1,9254,1,122.0,130.4,2
17,1,9070,1,126.0,118.7,2
17,1,9500,1,128.0,131.5,2
17,3,9085,1,134.0,120.4,3
17,2,9254,1,128.0,129.1,2
1,1,9070,1,125.0,132.0,3
7,2,9085,3,130.0,130.0,1
1,2,9500,1,135.0,132.8,2
39,1,9500,19,133.1,143.7,3
39,1,33,1,140.0,152.8,3
1,2,9773,1,138.0,133.5,2
1,1,9130,1,150.0,146.2,1
1,2,9147,1,125.0,115.2,1
1,2,9070,1,121.0,120.7,3
39,1,8014,1,120.0,101.8,1
39,2,9670,1,140.0,100.0,2
39,1,9991,1,100.0,121.9,1
18,2,8014,1,140.0,120.4,1
18,2,9238,1,140.0,120.4,1
39,1,9003,1,120.0,148.8,2
17,2,9853,1,138.0,123.0,1
39,1,8014,19,133.1,100.0,1
17,2,9853,1,118.0,112.1,1
1,6,9500,1,135.0,126.8,2
17,1,9130,1,130.0,115.9,2
15,1,9238,1,150.0,132.5,2
18,3,9085,1,149.0,132.2,2
1,1,9556,1,180.0,183.5,1
43,1,9119,1,133.1,136.0,1
39,1,9119,19,133.1,100.9,3
39,1,171,1,145.0,114.5,2
39,1,9147,1,110.0,110.3,1
1,1,9130,1,154.0,137.2,1
17,1,9147,1,126.0,116.9,3
17,1,9670,1,133.0,121.8,1
1,2,9500,1,145.0,127.3,2
44,1,9070,39,120.0,120.0,1
44,1,171,39,150.0,150.0,2
43,1,9991,1,150.0,100.0,2
39,1,9119,1,150.0,150.0,1
17,1,9254,1,127.0,116.9,2
44,1,9003,39,140.0,140.0,2
18,3,9773,1,128.0,122.1,1
39,1,9500,1,127.0,160.0,2
1,1,9147,1,117.0,118.4,3
44,1,9003,39,150.0,150.0,2
1,1,9500,1,154.0,144.9,2
17,2,9119,1,127.0,121.1,3
1,2,9147,1,133.0,121.8,3
39,1,9119,40,120.0,146.8,3
1,1,9670,1,133.1,138.0,3
1,1,9500,1,149.0,138.0,3
17,2,9147,1,125.0,116.3,2
1,5,9119,1,126.0,122.5,1
39,1,9773,19,133.1,115.0,1
43,1,9070,1,115.0,115.0,1
17,3,9119,1,117.0,119.8,1
17,2,9147,1,133.1,95.0,1
44,1,9003,39,150.0,150.0,1
17,1,9147,1,130.0,117.8,3
1,1,171,1,161.0,144.2,2
44,1,9254,39,130.0,130.0,3
42,1,9500,1,111.0,128.2,2
53,1,9003,42,140.0,135.3,2
1,1,9130,1,132.0,143.9,3
39,1,9991,1,139.0,140.7,1
1,1,9130,1,132.0,130.4,2
1,6,9070,6,119.0,123.2,2
39,1,9670,1,133.1,118.0,2
39,1,9003,19,133.1,120.0,1
17,4,9119,1,129.0,118.9,1
17,1,9085,1,128.0,117.2,2
39,1,9003,1,120.0,120.0,2
1,1,8014,1,130.0,118.1,2
1,1,9147,1,130.0,124.8,1
17,6,9119,1,111.0,106.5,1
1,6,9147,1,121.0,116.8,3
43,4,171,1,117.0,109.3,2
39,1,9085,9,133.1,120.0,1
1,2,9500,1,149.0,137.5,2
39,2,9991,1,172.0,150.0,3
1,1,9238,1,134.0,120.4,2
1,4,9070,1,136.0,136.7,2
39,1,8014,1,133.1,118.5,1
17,5,9500,1,141.0,133.0,2
17,1,9670,1,141.0,128.8,3
1,1,9147,1,148.0,133.0,2
17,1,9254,1,102.0,102.0,2
1,1,9147,1,143.0,133.9,2
17,1,9085,1,120.0,127.0,2
17,1,9773,1,121.0,120.4,2
1,3,9254,1,122.0,124.5,2
1,4,9556,1,122.0,123.9,2
1,2,9670,1,123.0,117.8,2
1,1,9500,1,133.0,126.7,3
44,1,9670,39,110.0,110.0,2
17,1,9670,1,155.0,134.7,3
17,1,9003,1,119.0,113.2,3
39,1,9991,3,120.0,141.0,1
17,1,9853,1,133.1,111.5,1
39,1,9853,1,143.0,140.0,1
17,1,9670,1,149.0,134.3,2
17,1,9003,1,133.0,125.3,2
7,1,9130,3,140.0,140.0,1
17,5,9070,1,122.0,119.6,1
7,1,9500,40,170.0,170.0,2
39,1,8014,1,120.0,150.5,2
1,1,9500,1,143.0,128.0,2
1,3,171,1,115.0,108.7,1
17,1,9130,1,123.0,121.6,1
1,6,9500,1,131.0,125.3,2
17,1,9085,1,127.0,117.6,1
43,3,9500,1,126.0,124.3,3
1,2,9853,1,112.0,106.1,2
1,1,8014,1,150.0,139.9,2
1,1,9070,1,116.0,110.8,2
17,3,9147,1,118.0,118.0,3
1,1,9500,1,130.0,117.8,2
1,6,9500,1,144.0,127.5,2
17,2,9238,3,105.0,129.7,2
17,1,9500,1,143.0,130.6,2
17,2,9500,1,137.0,126.3,2
44,1,9085,39,140.0,140.0,3
1,1,9773,1,133.1,105.0,2
17,2,9147,1,116.0,114.6,1
17,5,9853,1,117.0,114.6,1
17,1,9500,1,137.0,131.0,2
17,4,9070,1,116.0,109.0,1
1,1,9853,1,133.1,132.0,1
44,1,8014,39,130.0,130.0,2
1,3,9500,1,106.0,109.5,2
17,2,9773,1,125.0,115.9,2
1,1,9773,1,134.0,131.6,2
39,1,9500,1,133.1,120.0,2
1,2,9853,1,117.0,109.7,3
1,1,9500,1,136.0,136.4,2
39,1,9556,1,120.0,120.0,2
1,1,9670,1,135.0,132.6,2
17,5,9238,1,122.0,112.9,2
1,5,9500,1,147.0,134.3,2
39,1,9991,1,120.0,123.2,3
17,3,9238,1,121.0,117.2,2
18,1,9773,1,135.0,129.8,1
39,1,9670,1,130.0,158.0,1
1,6,9147,1,128.0,116.5,3
1,1,9147,1,129.0,121.0,3
1,3,9500,1,143.0,133.8,3
1,2,9773,1,108.0,115.0,1
1,1,9147,1,130.0,131.8,3
1,1,9238,1,135.0,121.0,3
39,1,9991,3,140.0,152.4,2
43,2,9556,1,120.0,110.2,2
1,1,9670,1,117.0,113.5,2
17,1,9238,1,151.0,144.4,2
53,1,9085,42,140.0,143.3,3
39,1,9500,19,133.1,100.0,2
44,1,9238,39,130.0,126.3,2
1,1,9773,1,125.0,115.9,2
1,4,9238,1,125.0,114.9,3
1,1,9238,1,135.0,121.0,3
51,1,8014,1,121.0,112.3,2
43,1,9070,1,141.0,127.0,2
39,1,9003,1,130.0,120.0,1
44,1,9003,39,180.0,180.0,2
1,1,9500,1,117.0,117.4,3
17,4,9773,1,127.0,115.8,2
1,3,9670,1,126.0,136.5,2
17,3,9500,1,143.0,129.0,2
1,1,9085,1,144.0,137.6,2
17,2,9773,1,126.0,129.5,1
51,1,9238,39,140.0,129.1,2
17,5,9500,1,148.0,130.2,1
42,1,9500,1,100.0,134.3,2
1,1,9238,1,151.0,138.4,2
42,1,8014,1,120.0,120.0,1
1,4,9500,1,135.0,123.5,2
1,2,9070,1,121.0,116.1,2
1,1,9254,1,116.0,110.8,2
17,1,9853,1,147.0,142.8,1
17,4,9070,1,160.0,155.5,2
1,1,9853,1,133.0,126.7,3
39,1,9773,19,100.0,163.5,1
1,1,171,1,151.0,161.9,2
17,2,9254,1,124.0,123.3,2
44,1,9238,39,140.0,137.5,2
18,4,9085,1,170.0,166.6,1
39,1,9238,19,133.1,103.5,1
39,1,9003,19,133.1,110.0,2
43,1,9991,1,100.0,128.2,2
39,1,9085,39,120.0,137.7,1
17,3,9500,1,133.0,128.8,2
39,1,9991,1,120.0,170.0,2
39,2,9147,19,133.1,116.4,1
39,1,9130,19,133.1,100.9,1
43,1,9003,1,133.1,136.0,2
1,1,9254,1,140.0,130.0,3
39,1,33,1,100.0,100.0,1
39,1,9130,19,133.1,157.0,2
1,1,9147,1,143.0,152.1,1
1,1,8014,1,165.0,162.9,2
1,1,9254,1,154.0,137.2,3
44,1,9003,39,140.0,140.0,2
43,1,9119,1,140.0,146.5,1
44,1,9085,39,130.0,130.0,3
39,1,9147,19,133.1,128.0,1
7,1,9556,4,190.0,190.0,1
39,1,9991,1,120.0,133.2,1
39,1,9238,12,100.0,124.3,2
39,1,9991,1,120.0,138.1,1
39,1,8014,1,133.1,144.3,2
39,1,9003,1,150.0,140.0,2
39,1,9254,1,120.0,148.3,2
39,1,8014,1,133.1,96.0,1
39,1,9991,19,133.1,121.7,1
39,1,9119,1,100.0,160.0,1
39,1,9085,1,133.1,110.3,2
1,1,9500,1,143.0,129.0,2
39,1,9085,1,120.0,150.0,2
43,1,8014,1,161.0,100.0,2
39,1,9130,9,133.1,107.5,1
39,1,9670,1,140.0,170.0,1
42,1,9991,6,123.0,123.0,3
43,1,9670,1,142.0,138.5,3
43,1,33,19,133.1,140.0,1
1,1,9254,1,115.0,113.6,3
1,1,171,1,156.0,170.0,2
39,1,8014,1,140.0,115.5,1
7,3,9130,3,130.0,130.0,1
7,1,9500,3,140.0,140.0,2
51,1,9670,1,140.0,126.6,2
39,1,9991,1,133.1,143.2,1
1,2,171,1,131.0,131.4,2
43,1,9670,1,141.0,133.3,3
1,1,9773,1,120.0,118.3,1
44,1,9003,39,140.0,140.0,2
1,1,9254,1,132.0,124.7,2
